SHA256,SHA1,MD5,FileName,Description
249058ce8dc6e74cff9fb84d4d32c82e371265b40d02bb70b7955dceea008139,,,TradeAI.exe,Fake OpenClaw Installers
0b6ed577b993fd81e14f9abbef710e881629b8521580f3a127b2184685af7e05,,,TradeAI.exe,Fake OpenClaw Installers
b73bd2e4cb16e9036aa7125587c5b3289e17e62f8831de1f9709896797435b82,,,TradeAI.exe,Fake OpenClaw Installers
7c5adef4b5aee7a4aa6e795a86f8b7d601618c3bc003f1326ca57d03ec7d6524,,,Python-based RAT,malicious PyPI packages
d587959841a763669279ad831b8f0379f6a7b037dffc19deab5d41f37f8b5ffc,,,Credential harvester,SeedWord TA
10fd541674adadfbba99b54280f7e59732746faf2b10ce68521866f737f1e46d,,,Nimbus Manticore Operations,backdoor named MiniFast
eee657ffdb2af8ed6412221e7d5fbf4f5742f2ac2c88f43f12db46af0697de71,,,Nimbus Manticore Operations,backdoor named MiniFast
781605ce9d4a9869e846f6c9657d71437cb6240ab27ffbc4cd550c0e06996690,,,Nimbus Manticore Operations,backdoor named MiniFast
2c214494fd0bad31473ca8adce78a4f50847876584571e66aadeae70827ec2dc,,,Nimbus Manticore Operations,backdoor named MiniFast
f08b17856616d66492a24dced27f788e235f35f42fa7cd10f315000d3a2f4c03,,,Nimbus Manticore Operations,backdoor named MiniFast
a57ffb819fe8d98ff925c5d7b239598fe302acf5a13193d7a535040a71298fdf,,,Nimbus Manticore Operations,backdoor named MiniFast
63d0d3c4a7f71bdbca720903d6a99b832089cc093c64d2938e7e001e56c17ab4,,,Nimbus Manticore Operations,backdoor named MiniFast
74882085db2088356ed7f72f01e0404a0a98cda88ef56fb15ce74c1f36b26d27,,,Nimbus Manticore Operations,backdoor named MiniFast
bc3b44154518c5794ce639108e7b9c5fecb0c189607a26de1aaed518d890c7ad,,,Nimbus Manticore Operations,backdoor named MiniFast
ecaf493c320d201d285ef5f61d75744216e47cf1115b4af528f9a78883cc446e,,,Nimbus Manticore Operations,backdoor named MiniFast
